Epizoda;Prizor;Lokacija;Okoliš?ine;Opis;Liki;Statisti;Igralci;Število strani scenarija
16;16-Jul;Lj/Nadino stanovanje/Jedilnica;DAN-INT.;NADINE SPODBUDNE BESEDE LARI VLIJEJO MO? ZA IZZIV  KI JE PRED NJO.;2 Lara,13 Nada;;Gaja Fila?,Aleksandra Balmazovi?;2 1/8
16;16-Aug;Kemp/Ex Renatova Parcela/Pred Prikolico;DAN-EXT.;DINU GRE NA ŽIVCE MERIJINO VTIKANJE  A NE VE  KAKO NAJ JI TO VLJUDNO POVE.;4 Dino,6 Meri,5OFF Saška Off,206 KEMP STANDARD (7);KEMP STANDARD (7);Matino Antunovi?,Vesna Pernar?i?,Mila Peršin;1 7/8
16;16-Sep;Lj/Žale/Mrliška Vežica;DAN-INT/EXT.;EDI PRIDE IZRE?T SOŽALJE STANETOVI VDOVI IN H?ERKI  KI SE JE VRNILA IZ AMERIKE NA O?ETOV POGREB.;3 Edvard,252 Erika,258 Sanja,211 STATISTI POGREB (?);STATISTI POGREB (?);Aleš Vali?,Bernarda Oman,Nina Rakovec;1 3/4
16;16-Oct;Lj/Steinerjeva Klinika/Sprejemnica;DAN-INT.;LARI JE NEPRIJETNO OB MIINEM IN MARKOVEM PRIHODU NA KLINIKO. MIA PA PRESENETI LARO S PRIJATELJSKO GESTO.;2 Lara,1 Mark,21 Mia;;Gaja Fila?,Matej Zemlji?,Zala Djuri?;1 5/8
16;16-Nov;Kemp/Ex Renatova Parcela/Pred Prikolico;DAN-EXT.;SAŠKA JE JEZNA NA MERI ZARADI NJENE VSILJIVOSTI  A SE TEŽKO UPIRA MERIJINEMU RAZVAJANJU.;5 Saška,6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Mila Peršin,Vesna Pernar?i?;2 1/4
16;16-Dec;Kemp/Recepcija;DAN-INT.;HRVOJE SPREMLJA STANETOV POGREB PO INTERNETU. JANA MU PREDLAGA  DE IMATA SVOJ OBRED STANETU V SLOVO.;14 Hrvoje,12 Jana;;Alen Šalinovi?,Tanja Poto?nik;2 3/8
16;16-13;Lj/Žale/Pred Mrliško Vežico;DAN-EXT.;BB NA STANETOVEM POGREBU PROVOCIRA EDIJA. EDI MU OBLJUBI  DA BO DOKON?AL STANETOVO DELO IN RAZKRINKAL BB-JEVE UMAZANE POSLE.;3 Edvard,19 Bb,211 STATISTI POGREB (?);STATISTI POGREB (?);Aleš Vali?,Valter Dragan;1
16;16-14;Lj/Steinerjeva Klinika/Pisarna/Ordinacija;DAN-INT.;MARKU NI VŠE? MIIN PREDLOG PRIJATELJEVANJA Z LARO. MII SE ZDI TO PRILOŽNOST ZA MARKA  DA OPRAVI S PRETEKLOSTJO.;1 Mark,21 Mia;;Matej Zemlji?,Zala Djuri?;2
16;16-15;Lj/Žale/Mrliška Vežica;DAN-INT/EXT.;BB IZRE?E SOŽALJE ERIKI IN SANJI  S KATERO STA O?ITNO STARA ZNANCA. ERIKI JE SIMPATI?EN  SANJA JE ZADRŽANA.;19 Bb,252 Erika,258 Sanja,211 STATISTI POGREB (?),240 POGREBNIK;STATISTI POGREB (?),POGREBNIK;Valter Dragan,Bernarda Oman,Nina Rakovec;1 3/4
16;16-16;Kemp/Naravna plaža;DAN-EXT.;HRVOJE IN JANA SPUŠ?ATA V MORJE CVETJE STANETU V SLOVO.;14 Hrvoje,12 Jana,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinovi?,Tanja Poto?nik; 3/8
16;16-17;Kemp/Pot Skozi Kemp/Nad Plažo;DAN-EXT.;MERI JE S TONIJEM NA SPREHODU  KO NA PLAŽI ZAGLEDA ZANIMIV PRIZOR.;14 Hrvoje,12 Jana,6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinovi?,Tanja Poto?nik,Vesna Pernar?i?; 7/8
16;16-18;Lj/Steinerjeva Klinika/Sprejemnica;DAN-INT.;MIA JE LJUBE?A DO MARKA. LARI JE OB TEM NEPRIJETNO  MARK PA JE V ZADREGI.;2 Lara,1 Mark,21 Mia;;Gaja Fila?,Matej Zemlji?,Zala Djuri?;1
16;16-19;Lj/Pe?nikova Pisarna;DAN-INT.;PE?NIK ŽELI UGOTOVITI  KAJ JE NA KLJU?KU  DA BO LAHKO INFORMACIJE IZKORISTIL SEBI V PRID.;15 Pe?nik,39OFF Tajnica Off;;Matija Rupel,Vesna Ponorac; 7/8
16;16-20;Kemp/Naravna Plaža/Pot Nad Plažo;DAN-EXT.;MERI SPRAVI HRVOJA IN JANO V ZADREGO. JO ZANIMA  KAJ SE PLETE MED HRVOJEM IN JANO.;14 Hrvoje,12 Jana,6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinovi?,Tanja Poto?nik,Vesna Pernar?i?;1 3/8
16;16-21;Lj/Steinerjeva Klinika/Pisarna/Ordinacija;DAN-INT.;LARA POMAGA MARKU POBIRATI RAZSUTE ŠKATLE  KAR SE KON?A Z UDARCEM V GLAVO.;2 Lara,1 Mark;;Gaja Fila?,Matej Zemlji?;1 5/8
16;16-22;Kemp/Bar Na Plaži;DAN-EXT.;DINO IN HRVOJE RAZMIŠLJATA  KAKO BI SE ZNEBILA MERI.;14 Hrvoje,4 Dino,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinovi?,Matino Antunovi?;1 3/8
16;16-23;Lj/Kova?eva Mesnica;DAN-INT.;FRENK IN KEVIN UŽIVATA V FANTOVSKEM DRUŽENJU  KO FRENK DOBI HRVOJEV KLIC NA POMO?.;7 Frenk,14OFF Hrvoje Off,17 Kevin,200 pasaža standard (3);pasaža standard (3);Gaber Trseglav,Alen Šalinovi?,Patrik Novak;1 7/8
16;16-24;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.;DAVID EDIJU PREDLAGA  DA POIŠ?E STANETOV BRUSELJSKI KONTAKT V STANETOVEM TELEFONU. EDI BO MORAL SPET DO ERIKE.;3 Edvard,11 David;;Aleš Vali?,Blaž Vali?;2
16;16-25;Lj/Pe?nikova Pisarna;DAN-INT.;PE?NIK POTREBUJE USLUGE RA?UNALNIŠKEGA STROKOVNJAKA. OPERATIVEC MU RAZLOŽI  DA GA BO TO DRAGO STALO.;15 Pe?nik,250 Operativec;;Matija Rupel,Damjan M. Trbovc;1 1/8
16;16-26;Lj/Steinerjeva Klinika/Pisarna/Ordinacija;DAN-INT.;MARK LARI PREGLEDUJE RANO. MIA JU OPAZUJE  JI NI VŠE?  KAR VIDI.;2 Lara,1 Mark,21 Mia;;Gaja Fila?,Matej Zemlji?,Zala Djuri?; 3/8
17;17-Jan;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.; EDI NE VE  ?E BO PRI ERIKI USPEŠEN. DAVID IMA IDEJO.;3 Edvard,11 David;;Aleš Vali?,Blaž Vali?;1 3/4
17;17-Feb;Lj/Steinerjeva Klinika/Pisarna/Ordinacija;DAN-INT.;MIA SKRIVAJ OPAZUJE LARO IN MARKA - MARK RAZUME LARINO ZADREGO. OBLJUBI  DA BO GOVORIL Z MIO GLEDE NJENE PRETIRANE PRIJAZNOSTI.;2 Lara,1 Mark,21 Mia;;Gaja Fila?,Matej Zemlji?,Zala Djuri?;2 3/8
17;17-Mar;Lj/Kova?eva Mesnica;DAN-INT.;FRENK HRVOJU ODRE?E POMO?  DA BI SE MU POMAGAL ZNEBITI MERI IZ KEMPA.;7 Frenk,14OFF Hrvoje Off,17 Kevin,200 pasaža standard (3);pasaža standard (3);Gaber Trseglav,Alen Šalinovi?,Patrik Novak;1 3/4
17;17-Apr;Kemp/Bar Na Plaži;DAN-EXT.;HRVOJE NE VE  KAJ NAREDITI GLEDE MERI. DINO VZTRAJA  NEKAJ JE PA? TREBA.;14 Hrvoje,4 Dino,5 Saška,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinovi?,Matino Antunovi?,Mila Peršin;1 5/8
17;17-May;Lj/Pe?nikova Pisarna;DAN-INT.;PE?NIK SPREJME VISOKO CENO  OPERATIVEC SE LOTI DEŠIFRIRANJA.;15 Pe?nik,250 Operativec;;Matija Rupel,Damjan M. Trbovc;1 1/2
17;17-Jun;Lj/Dolen?evo Stanovanje/Predsoba;DAN-INT.;EDIJA V STANOVANJE NAMESTO ERIKE SPUSTI SANJA;3 Edvard,258 Sanja;;Aleš Vali?,Nina Rakovec;1 1/2
17;17-Jul;Kemp/Bar Na Plaži;DAN-EXT.;DINO JE SLABE VOLJE ZARADI MERI  SAŠKA PA NASPROTNO - JI JE TRENUTNO PRAV OKEJ TAKO  KOT JE.;4 Dino,5 Saška,206 KEMP STANDARD (7);KEMP STANDARD (7);Matino Antunovi?,Mila Peršin;2 1/4
17;17-Aug;Lj/Steinerjeva Klinika/Sprejemnica;DAN-INT.;"MIA DOBI IDEJO ZA ""DOUBLE DATE"".";2 Lara,21 Mia,257 Dr. Mirt;;Gaja Fila?,Zala Djuri?,Žiga Udir;2 1/4
17;17-Sep;Lj/Steinerjeva Klinika/Pisarna/Ordinacija;DAN-INT.;MIA PREHITI MARKA S SVOJO REŠITVIJO. LARI BO NAŠLA FANTA.;1 Mark,21 Mia;;Matej Zemlji?,Zala Djuri?;2 1/4
17;17-Oct;Lj/Pe?nikova Pisarna;DAN-INT.;DEŠIFRIRANJE USB KLJU?A JE NEUSPEŠNO. POSKUSITI BOSTA MORALA DRUGA?E.;15 Pe?nik,250 Operativec;;Matija Rupel,Damjan M. Trbovc;2 1/4
17;17-Nov;Lj/Dolen?evo Stanovanje/Dnevna Soba;DAN-INT.; EDI PREGOVORI SANJO  DA MU DOVOLI V STANETOV KABINET.;3 Edvard,258 Sanja;;Aleš Vali?,Nina Rakovec;2 1/4
17;17-Dec;Kemp/Bar Na Plaži;DAN-EXT.;SAŠKA DINA PREPRI?UJE  DA IMATA TUKAJ PRAVI RAJ NA ZEMLJI. DINO ŽE SKORAJ KUPI NJENO TEORIJO  KO JU SPET ZMOTI MERI.;4 Dino,5 Saška,6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Matino Antunovi?,Mila Peršin,Vesna Pernar?i?;3 7/8
17;17-13;Lj/Pe?nikova Pisarna;DAN-INT.; PE?NIK IN OPERATIVEC VDRETA V STANETOV MAIL  A TAM NE NAJDETA NI?. ;15 Pe?nik,250 Operativec;;Matija Rupel,Damjan M. Trbovc;1 3/4
17;17-14;Lj/Dolen?evo Stanovanje/Dnevna Soba;DAN-INT.;EDI JE NAŠEL STANETOV TELEFON  A GA PRI TEM SKORAJ ZASA?I ERIKA.;3 Edvard,252 Erika,258 Sanja;;Aleš Vali?,Bernarda Oman,Nina Rakovec;1 3/8
17;17-15;Kemp/Recepcija;DAN-INT.;DINO MOLEDUJE HRVOJA  NAJ SE ZNEBI MERI. HRVOJE IMA REŠITEV  OBLJUBI  DA SE BO ON ZNEBIL MERI.;14 Hrvoje,4 Dino;;Alen Šalinovi?,Matino Antunovi?;1 5/8
17;17-16;Lj/Dolen?evo Stanovanje/Dnevna Soba;DAN-INT.; ERIKA NAPODI EDIJA. ZASLIŠUJE SANJO  KAJ JE PO?EL V STANOVANJU. SANJA SE ?UDI  ZAKAJ JE ERIKA TAKO SOVRAŽNA DO EDIJA.;3 Edvard,252 Erika,258 Sanja;;Aleš Vali?,Bernarda Oman,Nina Rakovec;1 3/4
17;17-17;Lj/Pasaža/Lokal;DAN-INT.;LARA ŠOKIRA NINO Z INFORMACIJO  DA JE SPREJELA JOB NA STEINERJEVI KLINIKI.;2 Lara,18 Nina,210 LOKAL STANDARD (4);LOKAL STANDARD (4);Gaja Fila?,Melani Mekicar;1 5/8
17;17-18;Kemp/Kova?eva Parcela/Pred Prikolico;DAN-EXT.;HRVOJE SE POSKUŠA ZNEBIT MERI Z LAŽNIM RAZLOGOM ZA DVOJNO POVIŠANJE CENE PAVŠALA.;14 Hrvoje,6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinovi?,Vesna Pernar?i?;1 1/8
17;17-19;Lj/Dolen?evo Stanovanje/Dnevna Soba;DAN-INT.;ERIKA RAZLOŽI SANJI SVOJE PREPRI?ANJE  DA JE EDI KRIV ZA STANETOVO SMRT.;252 Erika,258 Sanja;;Bernarda Oman,Nina Rakovec; 7/8
17;17-20;Lj/Vila/Vhodna Veža s Stopniš?em;DAN-INT.;EDIJA DOMA PRI?AKA ?LOVEK IZ PREMIERJEVEGA KABINETA.;3 Edvard,325 Premierjev ?lovek;;Aleš Vali?,Stane Berlec;1
17;17-21;Lj/Pasaža/Lokal;DAN-INT.;NINA SPODBUDI LARO  NAJ SPREJME MIINO VABILO NA PIJA?O.;2 Lara,18 Nina,210 LOKAL STANDARD (4);LOKAL STANDARD (4);Gaja Fila?,Melani Mekicar;2 7/8
17;17-22;Kemp/Kova?eva Parcela/Pred Prikolico;DAN-EXT.; MERI SE HRVOJU NE PUSTI IZSILJEVAT - ZAGROZI MU Z ODVETNIKI.;14 Hrvoje,6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinovi?,Vesna Pernar?i?; 3/4
17;17-23;Lj/Markova Garsonjera/Dnevni Del;DAN-INT.;MIA PREJME LARIN KLIC - LARA SPREJME VABILO NA PIJA?O.;2OFF Lara Off,1 Mark,21 Mia;;Gaja Fila?,Matej Zemlji?,Zala Djuri?;1 1/8
17;17-24;Lj/Pasaža/Lokal;DAN-INT.;NINA JE PONOSNA NA LARO  DA JE SPREJELA VABILO NA VE?ERJO.;2 Lara,18 Nina,210 LOKAL STANDARD (4);LOKAL STANDARD (4);Gaja Fila?,Melani Mekicar; 5/8
17;17-25;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.;HRVOJE PRIDE PO TOLAŽBO K JANI NA JOGO.;14 Hrvoje,12 Jana;;Alen Šalinovi?,Tanja Poto?nik; 5/8
17;17-26;Lj/Bistro Lotus;DAN-INT.;LARO NA VE?ERJI PRI?AKA PRESENE?ENJE - MIA JE ZANJO PRIPELJALA DEJT.;2 Lara,1 Mark,21 Mia,257 Dr. Mirt,202 Natakar,298 LOTUS A 6x 6.4.;Natakar,LOTUS A 6x 6.4.;Gaja Fila?,Matej Zemlji?,Zala Djuri?,Žiga Udir; 5/8
17;17-27;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.;EDI DOBI PONUDBO  DA POSTANE NOVI MINISTER.;3 Edvard,325 Premierjev ?lovek;;Aleš Vali?,Stane Berlec; 5/8
18;18-Jan;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.; EDVARD ZAVRNE MINISTRSKI POLOŽAJ. ;3 Edvard,325 Premierjev ?lovek;;Aleš Vali?,Stane Berlec;1 1/8
18;18-Feb;Lj/Bistro Lotus;DAN-INT.;LARI NI VŠE?  DA JI JE MIA PRIPRAVILA DVOJNI ZMENEK PRESENE?ENJA. DR. MIRT NANJO NE NAREDI NAJBOLJŠEGA VTISA.;2 Lara,1 Mark,21 Mia,257 Dr. Mirt,202 Natakar,298 LOTUS A 6x 6.4.;Natakar,LOTUS A 6x 6.4.;Gaja Fila?,Matej Zemlji?,Zala Djuri?,Žiga Udir;2
18;18-Mar;Kemp/Ex Renatova Parcela/Pred Prikolico;DAN-EXT;DINO NA?RTUJE ROMANTI?NI VE?ER S SAŠKO. MERI SE POVABI ZRAVEN.;4 Dino,5 Saška,6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Matino Antunovi?,Mila Peršin,Vesna Pernar?i?;1 7/8
18;18-Apr;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.; EDVARD POKLI?E NA POMO? DAVIDA  DA BI MU POMAGAL ODKLENITI STANETOV TELEFON.;3 Edvard,11 David;;Aleš Vali?,Blaž Vali?;1 5/8
18;18-May;Lj/Dolen?evo Stanovanje/Dnevna Soba;DAN-INT.;ERIKO ZANIMA  OD KJE SANJA POZNA BOJANA BOŽI?A. SANJA SE IZOGNE ODGOVORU.;252 Erika,258 Sanja;;Bernarda Oman,Nina Rakovec;3 1/8
18;18-Jun;Lj/Bistro Lotus;DAN-INT.;DR.MIRTU JE LARA VSE BOLJ VŠE?. MARKU IN LARI PA SKUPNA VE?ERJA ODPIRA STARE RANE.;2 Lara,1 Mark,21 Mia,257 Dr. Mirt,202 Natakar,298 LOTUS A 6x 6.4.;Natakar,LOTUS A 6x 6.4.;Gaja Fila?,Matej Zemlji?,Zala Djuri?,Žiga Udir;3
18;18-Jul;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.; HRVOJE POVABI JANO NA VE?ERJO. JANA SPREJME POVABILO.;14 Hrvoje,12 Jana,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinovi?,Tanja Poto?nik;2 1/8
18;18-Aug;Kemp/Ex Renatova Parcela/Pred Prikolico;DAN-EXT;MERI RAZKRIJE SVOJE NA?RTE  DA BO OSTALA V KEMPU DO KONCA SEZONE. DINU SE MEŠA.;4 Dino,5 Saška,6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Matino Antunovi?,Mila Peršin,Vesna Pernar?i?;2
18;18-Sep;Lj/Dolen?evo Stanovanje/Dnevna Soba;DAN-INT.;PE?NIK PRIDE DO ERIKE PO STANETOV TELEFON. LAŽE  DA JE STANETOV SODELAVEC Z MINISTRSTVA.;15 Pe?nik,252 Erika;;Matija Rupel,Bernarda Oman;1 1/4
18;18-Oct;Lj/Edvardovo Stanovanje/Jedilnica;DAN-INT.; DAVID USPE ODKLENITI STANETOV TELEFON. EDVARD SE LOTI ISKANJA STANETOVEGA STIKA V BRUSLJU. ;3 Edvard,11 David;;Aleš Vali?,Blaž Vali?;1 5/8
18;18-Nov;Lj/Bistro Lotus;DAN-INT.;DR. MIRT BI POVABIL LARO NA NOV ZMENEK. MII SE ZDI  DA BI BILA LEP PAR. MARKU NI ?ISTO VSEENO.;2 Lara,1 Mark,21 Mia,257 Dr. Mirt,202 Natakar,298 LOTUS A 6x 6.4.;Natakar,LOTUS A 6x 6.4.;Gaja Fila?,Matej Zemlji?,Zala Djuri?,Žiga Udir;2
18;18-Dec;Kemp/Restavracija;DAN-INT.; HRVOJE PRIPRAVLJA ROMANTI?NO VE?ERJO ZA JANO  OBUPANI DINO PA BI SE POSLUŽIL SKRAJNIH PRIJEMOV  DA SE ZNEBI MERI. ;14 Hrvoje,4 Dino,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinovi?,Matino Antunovi?;1 5/8
18;18-13;Lj/Dolen?evo Stanovanje/Kabinet;DAN-INT.; SANJA NE NASEDE PE?NIKU. ŽELI PREVERITI NA MINISTRSTVU NJEGOVO ZGODBO. PE?NIK SE ZNAJDE V ZAGATI. ;15 Pe?nik,252 Erika,258 Sanja;;Matija Rupel,Bernarda Oman,Nina Rakovec;1 5/8
18;18-14;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.; EDVARD POKLI?E STANETOVEGA ?LOVEKA V BRUSLJU  A NALETI NA NEZAUPANJE.;3 Edvard,11 David,326OFF (angleško govore?i) Moški Off;;Aleš Vali?,Blaž Vali?;1 1/4
18;18-15;Kemp/Restavracija;DAN-INT.; HRVOJE NIMA ?ASA ZA DINOVE PROBLEME Z MERI. DINO PA OB POGLEDU NA USMRAJENE RIBE DOBI IDEJO. ;14 Hrvoje,4 Dino,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinovi?,Matino Antunovi?;1 1/2
18;18-16;Lj/Bistro Lotus;DAN-INT.;DR. MIRT POVABI LARO NA ZMENEK. LARA SE ZLAŽE  DA ŽE IMA FANTA.;2 Lara,1 Mark,21 Mia,257 Dr. Mirt,202 Natakar,298 LOTUS A 6x 6.4.;Natakar,LOTUS A 6x 6.4.;Gaja Fila?,Matej Zemlji?,Zala Djuri?,Žiga Udir;1 5/8
18;18-17;Lj/Dolen?evo Stanovanje/Kabinet;DAN-INT.; ERIKA SE POTEGNE ZA PE?NIKA IN GA IZVLE?E IZ ZAGATE  PE?NIK PA IZVE ZA EDIJEV POPOLDANSKI OBISK PRI JAMNIKOVIH. ;15 Pe?nik,252 Erika,258 Sanja;;Matija Rupel,Bernarda Oman,Nina Rakovec;1 5/8
18;18-18;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.; DAVID SPODBUJA EDIJA  NAJ SPREJME MINISTRSKI STOL?EK. EDI ŽELI LE DOKON?ATI STANETOV PROJEKT RUŠENJA BB-JA.;3 Edvard,11 David;;Aleš Vali?,Blaž Vali?;1 5/8
18;18-19;Lj/Nadino Stanovanje/Dnevni Del;NO?-INT.;LARA SE VRNE Z VE?ERJE Z GRENKIM PRIOKUSOM.;2 Lara,13 Nada;;Gaja Fila?,Aleksandra Balmazovi?;1 3/4
18;18-20;Lj/Markova Garsonjera/Dnevni Del;NO?-INT.; MIO ZANIMA  KAKŠEN JE LARIN NOVI FANT. MARKU NI DO POGOVORA O LARINEM LJUBEZENSKEM ŽIVLJENJU. ;1 Mark,21 Mia;;Matej Zemlji?,Zala Djuri?;2 1/8
18;18-21;Kemp/Janina Parcela/Pred Avtodomom;NO?-EXT.; JANA SE ODPRE HRVOJU. ŽELI HRVOJU  DA BI TUDI ON NAŠEL LJUBEZEN. HRVOJE NIMA POGUMA  DA BI SE JI IZPOVEDAL. ;14 Hrvoje,12 Jana,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinovi?,Tanja Poto?nik;2 1/8
18;18-22;Lj/Nadino Stanovanje/Dnevni Del;NO?-INT.;LARA GRE V LJUBEZNI PO NADINIH STOPINJAH - OSTALA BO SAMSKA. NADO TO SPOMNI NA DAVIDA.;2 Lara,13 Nada;;Gaja Fila?,Aleksandra Balmazovi?;1 3/4
18;18-23;Lj/Markova Garsonjera/Spalni Del;NO?-INT.;MARK NE MORE SPATI. RAZMIŠLJA O LARI.;1 Mark,21 Mia;;Matej Zemlji?,Zala Djuri?; 1/4
18;18-24;Kemp/Ex Renatova Parcela/Pred Prikolico;NO?-EXT;SAŠKA TRDNO SPI  DINO PA SE ODPRAVI NA MAŠ?EVALNI POHOD.;4 Dino;;Matino Antunovi?; 1/2
18;18-25;Kemp/Kova?eva Parcela/Za Prikolico;NO?-EXT.; DINO PRIPRAVLJA MERI NEPRIJETNO PRESENE?ENJE. ;4 Dino,6OFF Meri Off;;Matino Antunovi?,Vesna Pernar?i?; 1/2
18;18-26;Lj/Edvardovo Stanovanje/Dnevna Soba;NO?-INT.; EDVARDA ZBUDI KLIC S SKRITE ŠTEVILKE. UPA  DA KLI?E STANETOV ?LOVEK IZ BRUSLJA. ;3 Edvard;;Aleš Vali?; 5/8
18;18-27;Lj/Pe?nikova Pisarna;NO?-INT.;PE?NIK UGOTOVI  DA JE STANETOV TELEFON - PRI EDVARDU!;15 Pe?nik,3OFF Edvard Off;;Matija Rupel,Aleš Vali?; 3/8
19;19-Jan;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.; HRVOJE SE PREBUDI PRI JANI.;14 Hrvoje,12 Jana,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinovi?,Tanja Poto?nik;1 3/8
19;19-Feb;Kemp/Kova?eva Parcela/Pred Prikolico;DAN-EXT.; MERI JE SLABO SPALA - NEKAJ V BLIŽINI GROZNO SMRDI.;6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Vesna Pernar?i?; 1/2
19;19-Mar;Lj/Julijino Stanovanje/Kuhinja;DAN-INT.;BB NAVSEZGODAJ PRESENETI JULIJO Z DARILOM S ŠVEDSKE.;10 Julija,19 Bb;;Sabina Kogovšek,Valter Dragan;1 1/2
19;19-Apr;Lj/Dolen?evo Stanovanje/Dnevna Soba;DAN-INT.; SANJI ŠE KAR NE DA MIRU V?ERAJŠNJI PE?NIKOV OBISK  HO?E OD ERIKE IZVEDET  KDO JE BIL TA TIP?;252 Erika,258 Sanja;;Bernarda Oman,Nina Rakovec;2
19;19-May;Lj/Edvardovo Stanovanje/Kuhinja;DAN-INT.; DAVID POVE  DA JE BIL V LOVU NA STANETOV BRUSELJSKI KONTAKT NEUSPEŠEN.;3 Edvard,11 David;;Aleš Vali?,Blaž Vali?;2 1/8
19;19-Jun;Lj/Steinerjeva Klinika/Sprejemnica;DAN-INT.; MIA BI RADA OD LARE IZVEDELA VSE O NJENEM NOVEM FANTU. LARA SE MU?I Z OPISOVANJEM IZMIŠLJENEGA TIPA.;2 Lara,1 Mark,21 Mia;;Gaja Fila?,Matej Zemlji?,Zala Djuri?;3 1/8
19;19-Jul;Lj/Julijino Stanovanje/Kuhinja;DAN-INT.;BB POKLONI JULIJI DRAG PRSTAN  A BOLJ GA V RESNICI ZANIMA  KDO SE POTEGUJE ZA MINISTRSKI POLOŽAJ.;10 Julija,19 Bb;;Sabina Kogovšek,Valter Dragan;2 1/4
19;19-Aug;Lj/Dolen?evo Stanovanje/Kabinet;DAN-INT.;SANJA NA MINISTRSTVU PREVERJA  ?E SO RES ONI POSLALI KOGA PO STANETOV TELEFON?;258 Sanja,327OFF Tajnica Ministrstva Off;;Nina Rakovec,Petra Bauman;1 1/2
19;19-Sep;Kemp/Kova?eva Parcela/Pred Prikolico;DAN-EXT.; MERI POD PRIKOLICO NAJDE SMRDLJIVE RIBE. ZBUDI DINA IN SAŠKO.;4 Dino,5 Saška,6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Matino Antunovi?,Mila Peršin,Vesna Pernar?i?;2 1/8
19;19-Oct;Lj/Julijino Stanovanje/Predsoba;DAN-INT.;BB OD JULIJE IZVE  DA SO EDIJU PONUDILI MESTO MINISTRA  IN DOBI IDEJO  PRI KOM MORA LOBIRATI ZA PODPORO.;10 Julija,19 Bb;;Sabina Kogovšek,Valter Dragan;1 1/4
19;19-Nov;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.;EDI IN DAVID NA STANETOVEM TELEFONU NAJDETA ZANIMIV ZAPIS  KODO Xz!FARM20#;3 Edvard,11 David;;Aleš Vali?,Blaž Vali?;1 5/8
19;19-Dec;Lj/Dolen?evo Stanovanje/Kabinet;DAN-INT.; SANJA PRIJAVI KRAJO STANETOVEGA TELEFONA NA POLICIJO.;258 Sanja;;Nina Rakovec; 1/2
19;19-13;Lj/Steinerjeva Klinika/Sprejemnica;DAN-INT.; MIA SPET VRTA V LARO O NJENEM FANTU - IN GA NA VSAK NA?IN ŽELI SPOZNATI.;2 Lara,21 Mia;;Gaja Fila?,Zala Djuri?;1 7/8
19;19-14;Kemp/Recepcija;DAN-INT.; MERI OBTOŽI HRVOJA  DA JI JE PODTAKNIL SMRDLJIVE RIBE. ;14 Hrvoje,6 Meri,328 Gospa,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinovi?,Vesna Pernar?i?;2 7/8
19;19-15;Lj/Bistro Lotus;DAN-INT.; BB ROMANU POVE  DA ŽELI ON SAM POSTATI NOVI MINISTER. ;251 Roman,19 Bb,411 Natakarica,300 STATISTI LOTUS A 6x 10.4.;STATISTI LOTUS A 6x 10.4.;Uroš Smolej,Valter Dragan,Ksenija Žuni?;2 5/8
19;19-16;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.;" JANA POTRDI HRVOJEV ""ALIBI"" - CELO NO? JE BIL PRI NJEJ  ZATO ON NI MOGEL PODTAKNITI SMRDLJIVIH RIB.";14 Hrvoje,12 Jana,6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinovi?,Tanja Poto?nik,Vesna Pernar?i?;1 3/8
