Epizoda;Prizor;Lokacija;Okoliš?ine;Opis;Liki;Statisti;Igralci;Število strani scenarija
1;Jan-17;Hr/Sodna Dvorana;DAN-INT;SODNICA RAZGLASI SVOJO ODLO?ITEV - MARK NI KRIV. MARKOVI NAJBLIŽJI SE VESELIJO  LARA PA IZGINE.;2 Lara,1 Mark,21 Mia,3 Edvard,12 Jana,194 ?rt,302 Sodnica,301 Odvetnica,303 Tožilec,304 Zapisnikarica,292 POLICISTA INT. 2x;POLICISTA INT. 2x;Gaja Fila?,Matej Zemlji?,Zala Djuri?,Aleš Vali?,Tanja Poto?nik,Aljaž Tepina;1
1;Jan-18;Lj/Julijino Stanovanje/Kuhinja;DAN-INT.;JULIJA PREJME MIIN KLIC  MIA JI POVE  DA JE MARK OPROŠ?EN.;10 Julija,21OFF Mia Off;;Sabina Kogovšek,Zala Djuri?;1 3/8
1;Jan-19;Hr/Sodna Dvorana;DAN-INT;JANA JE PO ZAKLJU?KU OBRAVNAVE POTRTA. ?RT PA DOBI DOBRO NOVICO.;12 Jana,194 ?rt,292 POLICISTA INT. 2x;POLICISTA INT. 2x;Tanja Poto?nik,Aljaž Tepina;1 1/8
1;Jan-20;Hr/Pred Sodiš?em;DAN-EXT.;MARK ZAGLEDA LARO  KI O?ITNO LE NI BILA SAMO PRIKAZEN;2 Lara,1 Mark,291 Policaj  EXT. 1x;Policaj  EXT. 1x;Gaja Fila?,Matej Zemlji?; 5/8
1;Jan-21;Lj/Pe?nikova Pisarna;DAN-INT.;"PE?NIK SE DOBI Z ""OPERATIVCEM"" IN GA NA LASTNO PEST POŠLJE V AKCIJO.";15 Pe?nik,250 Operativec;;Matija Rupel,Damjan M. Trbovc;1 5/8
1;Jan-22;Hr/Sodna Dvorana;DAN-INT.;?RT ŽELI  DA JANA ZAKLJU?I STARO ZGODBO IN SE FOKUSIRA NA NJUNO PRIHODNOST.;12 Jana,194 ?rt,292 POLICISTA INT. 2x;POLICISTA INT. 2x;Tanja Poto?nik,Aljaž Tepina;2
1;Jan-23;Hr/Pred Sodiš?em;DAN-EXT.;LARIN OBRA?UN Z MARKOM.;2 Lara,1 Mark,21 Mia,291 Policaj  EXT. 1x;Policaj  EXT. 1x;Gaja Fila?,Matej Zemlji?,Zala Djuri?;2 1/4
1;Jan-24;Lj/Pasaža/Lokal;DAN-INT.;LARA SPORO?I NINI  DA JE MARK OPROŠ?EN.LARA MORA STAT JANI OB STRANI  DO NINE PA PRIDE DINO.;18 Nina,4 Dino,2V Lara Videoklic,227 LOKAL A 3x 19.2.,228 LOKAL AA 4x 19.2.;LOKAL A 3x 19.2.,LOKAL AA 4x 19.2.;Melani Mekicar,Matino Antunovi?,Gaja Fila?;2 1/4
1;01-24A;Hr/Pred Sodiš?em;DAN-EXT;VIDEOKLIC LARE Nini - Lara po sodni obravnavi;2 Lara,18V Nina Videoklic,291 Policaj  EXT. 1x;Policaj  EXT. 1x;Gaja Fila?,Melani Mekicar;2 1/4
1;Jan-25;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.;JULIJA PIŠE MARKU SMS  KO JO ZMOTI HIŠNI ZVONEC.;10 Julija;;Sabina Kogovšek; 3/8
1;Jan-26;Lj/Julijino Stanovanje/Predsoba;DAN-INT.;BB PRESENETI JULIJO S ŠOPKOM. ŽELI SE POBOTATI Z NJO.;10 Julija,19 Bb;;Sabina Kogovšek,Valter Dragan; 3/8
1;Jan-27;Hr/Pred Sodiš?em;DAN-EXT.;" JANA ODPUSTI MARKU  LARO PA PRIZADANE POGLED NA JANO  KI OBJEMA MARKA. JO ZABOLI MAMINA ""IZDAJA"". ";2 Lara,1 Mark,21 Mia,12 Jana,194 ?rt,291 Policaj  EXT. 1x;Policaj  EXT. 1x;Gaja Fila?,Matej Zemlji?,Zala Djuri?,Tanja Poto?nik,Aljaž Tepina;1 3/4
2;02-Jan;Hr/Pred Sodiš?em;DAN-EXT.; MARK JE HVALEŽEN JANI  KER MU JE ODPUSTILA. LARA PA PRIZADETA ODIDE  NE DA BI SE POKAZALA JANI. ;2 Lara,1 Mark,21 Mia,12 Jana,194 ?rt,291 Policaj  EXT. 1x;Policaj  EXT. 1x;Gaja Fila?,Matej Zemlji?,Zala Djuri?,Tanja Poto?nik,Aljaž Tepina; 3/4
2;02-Feb;Lj/Pasaža/Lokal;DAN-INT.; DINO JE NAVDUŠEN  KER TUDI NINA DELA V PASAŽI. SAŠKA PA JEZNA  KO GA UJAME PRI SPOGLEDOVANJU Z NINO. ;18 Nina,4 Dino,5 Saška,1001 Dojen?ek,227 LOKAL A 3x 19.2.,228 LOKAL AA 4x 19.2.;LOKAL A 3x 19.2.,LOKAL AA 4x 19.2.;Melani Mekicar,Matino Antunovi?,Mila Peršin,Dane Pevc;3 3/8
2;02-Mar;Hr/Pred Sodiš?em;DAN-EXT.; Mark pokima.;1 Mark,21 Mia,3 Edvard,291 Policaj  EXT. 1x;Policaj  EXT. 1x;Matej Zemlji?,Zala Djuri?,Aleš Vali?;1 7/8
2;02-Apr;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.; JULIJA NE ŽELI VE? DELATI BB-JU USLUG  ?E NE BO IZPOLNIL SVOJIH OBLJUB. ;10 Julija,19 Bb;;Sabina Kogovšek,Valter Dragan;2
