02-03;Hr/Pred Sodiščem;DAN-EXT.;1 Mark,21 Mia,3 Edvard,291 Policaj  EXT. 1x;Matej Zemljič,Zala Djurić,Aleš Valič;Policaj  EXT. 1x
02-04;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.;10 Julija,19 Bb;Sabina Kogovšek,Valter Dragan;ni STATISTOV
02-05;Lj/Pečnikova Pisarna;DAN-INT.;15 Pečnik,39 Tajnica;Matija Rupel,Vesna Ponorac;ni STATISTOV
02-06;Lj/Kovačeva Mesnica;DAN-INT.;4 Dino,5 Saška,1001 Dojenček,217 pasaža standard (3) - B;Matino Antunović,Mila Peršin,Dane Pevc;pasaža standard (3) - B
02-07;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.;10 Julija,19 Bb;Sabina Kogovšek,Valter Dragan;ni STATISTOV
02-08;Kemp/Pred recepcijo;DAN-EXT.;1 Mark,21 Mia,203 KEMP VEČ (15);Matej Zemljič,Zala Djurić;KEMP VEČ (15)
02-09;Lj/Pečnikova Pisarna;DAN-INT.;15 Pečnik;Matija Rupel;ni STATISTOV
02-10;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.;10 Julija,19 Bb;Sabina Kogovšek,Valter Dragan;ni STATISTOV
02-11;Kemp/Pred recepcijo;DAN-EXT.;1 Mark,21 Mia,3 Edvard,203 KEMP VEČ (15);Matej Zemljič,Zala Djurić,Aleš Valič;KEMP VEČ (15)
02-12;Lj/Kozmetični Salon/Sprejemnica;DAN-INT.;5 Saška,6 Meri,200 pasaža standard (3),205 Stranka,1000 Voziček;Mila Peršin,Vesna Pernarčič;pasaža standard (3),Stranka
02-13;Kemp/Bar Na Plaži;DAN-EXT;1 Mark,21 Mia,14 Hrvoje,3 Edvard,7 Frenk,206 KEMP STANDARD (7);Matej Zemljič,Zala Djurić,Alen Šalinović,Aleš Valič,Gaber Trseglav;KEMP STANDARD (7)
02-14;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.;12 Jana,194 Črt,206 KEMP STANDARD (7);Tanja Potočnik,Aljaž Tepina;KEMP STANDARD (7)
02-15;Lj/Kozmetični Salon/Sprejemnica;DAN-INT.;5 Saška,6 Meri,200 pasaža standard (3),1000 Voziček;Mila Peršin,Vesna Pernarčič;pasaža standard (3)
02-16;Kemp/Bar Na Plaži;DAN-EXT.;1 Mark,21 Mia,14 Hrvoje,3 Edvard,7 Frenk,206 KEMP STANDARD (7);Matej Zemljič,Zala Djurić,Alen Šalinović,Aleš Valič,Gaber Trseglav;KEMP STANDARD (7)
02-17;Lj/Kovačeva Mesnica;DAN-INT.;4 Dino,5 Saška,1000 Voziček,217 pasaža standard (3) - B;Matino Antunović,Mila Peršin;pasaža standard (3) - B
02-18;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.;1 Mark,194 Črt,206 KEMP STANDARD (7);Matej Zemljič,Aljaž Tepina;KEMP STANDARD (7)
02-19;Lj/Pasaža;DAN-INT.;18 Nina,5 Saška,6 Meri,306 Stranka kozmetičnega salona 1,1000 Voziček,228 LOKAL AA 4x 19.2.;Melani Mekicar,Mila Peršin,Vesna Pernarčič,Tanja Mojzer;LOKAL AA 4x 19.2.
02-20;Kemp/Nad Plažo Pri Pomolu;DAN-EXT.;161 Stane,250 Operativec,206 KEMP STANDARD (7);Bojan Maroševič,Damjan M. Trbovc;KEMP STANDARD (7)
02-21;Lj/Pečnikova Pisarna;DAN-INT.;15 Pečnik;Matija Rupel;ni STATISTOV
02-22;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.;1 Mark,194 Črt,206 KEMP STANDARD (7);Matej Zemljič,Aljaž Tepina;KEMP STANDARD (7)
02-23;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.;10 Julija,19 Bb;Sabina Kogovšek,Valter Dragan;ni STATISTOV
02-24;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.;1 Mark,12 Jana,194 Črt,206 KEMP STANDARD (7);Matej Zemljič,Tanja Potočnik,Aljaž Tepina;KEMP STANDARD (7)
02-25;Lj/Dolenčevo Stanovanje/Predsoba;DAN-INT.;2 Lara,252 Erika;Gaja Filač,Bernarda Oman;ni STATISTOV
03-01;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.;1 Mark,12 Jana,194 Črt,206 KEMP STANDARD (7);Matej Zemljič,Tanja Potočnik,Aljaž Tepina;KEMP STANDARD (7)
03-02;Lj/Dolenčevo Stanovanje/Predsoba;DAN-INT.;2 Lara,252 Erika;Gaja Filač,Bernarda Oman;ni STATISTOV
03-03;Kemp/Pomol;DAN-EXT.;161 Stane,250 Operativec;Bojan Maroševič,Damjan M. Trbovc;ni STATISTOV
03-04;Lj/Bb-Jeva Pisarna;DAN-INT.;19 Bb,15 Pečnik;Valter Dragan,Matija Rupel;ni STATISTOV
03-05;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.;12 Jana,194 Črt,206 KEMP STANDARD (7);Tanja Potočnik,Aljaž Tepina;KEMP STANDARD (7)
03-06;Kemp/Pri Milenini Klopci;DAN-EXT.;1 Mark,3 Edvard,207 NI STATISTOV;Matej Zemljič,Aleš Valič;NI STATISTOV
03-07;Kemp/Pomol;DAN-EXT.;161 Stane,250 Operativec,206 KEMP STANDARD (7);Bojan Maroševič,Damjan M. Trbovc;KEMP STANDARD (7)
03-08;Lj/Bb-Jeva Pisarna;DAN-INT.;19 Bb,15 Pečnik;Valter Dragan,Matija Rupel;ni STATISTOV
03-09;Lj/Pasaža/Lokal;DAN-INT.;2 Lara,18 Nina,253 Žan,227 LOKAL A 3x 19.2.,228 LOKAL AA 4x 19.2.;Gaja Filač,Melani Mekicar,Domen Novak;LOKAL A 3x 19.2.,LOKAL AA 4x 19.2.
03-10;Kemp/Pri Milenini Klopci;DAN-EXT.;1 Mark,3 Edvard,207 NI STATISTOV;Matej Zemljič,Aleš Valič;NI STATISTOV
03-11;Kemp/Pot Čez Kemp;DAN-EXT.;1 Mark,21 Mia,206 KEMP STANDARD (7);Matej Zemljič,Zala Djurić;KEMP STANDARD (7)
