Epizoda;Prizor;Lokacija;Okoliščine;Opis;Liki;Statisti;Igralci;Število strani scenarija
02;02-01;Hr/Pred Sodiščem;DAN-EXT.; MARK JE HVALEŽEN JANI  KER MU JE ODPUSTILA. LARA PA PRIZADETA ODIDE  NE DA BI SE POKAZALA JANI. ;2 Lara,1 Mark,21 Mia,12 Jana,194 Črt,291 Policaj  EXT. 1x;Policaj  EXT. 1x;Gaja Filač,Matej Zemljič,Zala Djurić,Tanja Potočnik,Aljaž Tepina;0 6/8
02;02-02;Lj/Pasaža/Lokal;DAN-INT.; DINO JE NAVDUŠEN  KER TUDI NINA DELA V PASAŽI. SAŠKA PA JEZNA  KO GA UJAME PRI SPOGLEDOVANJU Z NINO. ;18 Nina,4 Dino,5 Saška,1001 Dojenček,227 LOKAL A 3x 19.2.,228 LOKAL AA 4x 19.2.;LOKAL A 3x 19.2.,LOKAL AA 4x 19.2.;Melani Mekicar,Matino Antunović,Mila Peršin,Dane Pevc;3 3/8
02;02-03;Hr/Pred Sodiščem;DAN-EXT.; Mark pokima.;1 Mark,21 Mia,3 Edvard,291 Policaj  EXT. 1x;Policaj  EXT. 1x;Matej Zemljič,Zala Djurić,Aleš Valič;1 7/8
02;02-04;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.; JULIJA NE ŽELI VEČ DELATI BB-JU USLUG  ČE NE BO IZPOLNIL SVOJIH OBLJUB. ;10 Julija,19 Bb;;Sabina Kogovšek,Valter Dragan;2
02;02-05;Lj/Pečnikova Pisarna;DAN-INT.; PEČNIKA ZASKRBI  DA JE PREHITRO NA LASTNO PEST AKTIVIRAL OPERATIVCA. BI VENDARLE POČAKAL NA ŠEFOV BLAGOSLOV.  ;15 Pečnik,39 Tajnica;;Matija Rupel,Vesna Ponorac;1 5/8
02;02-06;Lj/Kovačeva Mesnica;DAN-INT.; SAŠKA DINU OČITA FLIRTANJE Z NINO. DINO POBESNI  KER JE SIT DELA V MESNICI IN HOČE TAKOJ NAZAJ NA MORJE.;4 Dino,5 Saška,1001 Dojenček,217 pasaža standard (3) - B;pasaža standard (3) - B;Matino Antunović,Mila Peršin,Dane Pevc;1 7/8
02;02-07;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.; BB MANIPULIRA Z JULIJIMI ČUSTVI  DA BI SI ZAGOTOVIL NJENO POMOČ. ;10 Julija,19 Bb;;Sabina Kogovšek,Valter Dragan;2 3/8
02;02-08;Kemp/Pred recepcijo;DAN-EXT.; MARKA OB PRIHODU V KEMP PREPLAVIJO NEPRIJETNI SPOMINI. MIO PA ZASKRBI  DA MARK ŠE NI PREBOLEL LARE.;1 Mark,21 Mia,203 KEMP VEČ (15);KEMP VEČ (15);Matej Zemljič,Zala Djurić;1 6/8
02;02-09;Lj/Pečnikova Pisarna;DAN-INT.; PEČNIK JE RAZDRAŽEN ZARADI ŠTEVILNIH ODPOVEDI. GA MIKA  DA BI VENDARLE POSLAL OPERATIVCA NAD MINISTRA.  ;15 Pečnik;;Matija Rupel;1 4/8
02;02-10;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.;BB IN JULIJA STA IZČRPANA PO STRASTNEM SEKSU  KO BB DOBI PEČNIKOV KLIC. BB GA IGNORIRA.;10 Julija,19 Bb;;Sabina Kogovšek,Valter Dragan;1 4/8
02;02-11;Kemp/Pred recepcijo;DAN-EXT.; MIA JE ZARADI MARKOVEGA MOLKA PREPRIČANA  DA VENDARLE ŠE NI PREBOLEL LARE. EDVARD JU ZMOTI  PREDEN LAHKO RAZČISTITA.;1 Mark,21 Mia,3 Edvard,203 KEMP VEČ (15);KEMP VEČ (15);Matej Zemljič,Zala Djurić,Aleš Valič;0 7/8
02;02-12;Lj/Kozmetični Salon/Sprejemnica;DAN-INT.; SAŠKA SE PO PREPIRU Z DINOM ZATEČE PO TOLAŽBO K MERI. ;5 Saška,6 Meri,200 pasaža standard (3),205 Stranka,1000 Voziček;pasaža standard (3),Stranka;Mila Peršin,Vesna Pernarčič;2 1/8
02;02-13;Kemp/Bar Na Plaži;DAN-EXT;V BARU NA PLAŽI HRVOJE PRIPRAVLJA ZAKUSKO  DA PROSLAVIJO MARKOVO OPROSTITEV.;1 Mark,21 Mia,14 Hrvoje,3 Edvard,7 Frenk,206 KEMP STANDARD (7);KEMP STANDARD (7);Matej Zemljič,Zala Djurić,Alen Šalinović,Aleš Valič,Gaber Trseglav;1 7/8
02;02-14;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.; ČRT JE DOBRE VOLJE ZARADI NOVICE O NAKUPU VASICE. JANO PA ZASKRBI  KJE BOSTA DOBILA DENAR ZA ARO. ;12 Jana,194 Črt,206 KEMP STANDARD (7);KEMP STANDARD (7);Tanja Potočnik,Aljaž Tepina;2 4/8
02;02-15;Lj/Kozmetični Salon/Sprejemnica;DAN-INT.;Saška je v offu povedala Meri  da v Borutovem lokalu dela - Nina. Meri presenečeno gleda Saško.;5 Saška,6 Meri,200 pasaža standard (3),1000 Voziček;pasaža standard (3);Mila Peršin,Vesna Pernarčič;2 3/8
02;02-16;Kemp/Bar Na Plaži;DAN-EXT.;HRVOJE SANJARI O DVOJNI POROKI V KEMPU. MARK IN MIA PA STA VSAK V SVOJIH SKRBEH. MIA MISLI  DA MARK NI PREBOLEL LARE.;1 Mark,21 Mia,14 Hrvoje,3 Edvard,7 Frenk,206 KEMP STANDARD (7);KEMP STANDARD (7);Matej Zemljič,Zala Djurić,Alen Šalinović,Aleš Valič,Gaber Trseglav;2 3/8
02;02-17;Lj/Kovačeva Mesnica;DAN-INT.; SAŠKA SE OPRAVIČI DINU ZA LJUBOSUMNI IZBRUH IN GA POVABI NA KONCERT.  ;4 Dino,5 Saška,1000 Voziček,217 pasaža standard (3) - B;pasaža standard (3) - B;Matino Antunović,Mila Peršin;2 2/8
02;02-18;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.; MARK SE USTAVI PRI ČRTU. JE HVALEŽEN JANI  KER MU JE ODPUSTILA. BI SE JI RAD NEKAKO ODDOLŽIL. ČRT VE  KAKO. ;1 Mark,194 Črt,206 KEMP STANDARD (7);KEMP STANDARD (7);Matej Zemljič,Aljaž Tepina;1 3/8
02;02-19;Lj/Pasaža;DAN-INT.;SAŠKA IN DINO GRESTA ZVEČER NA KONCERT. SAŠKA UPA  DA BOSTA POKRPALA SVOJ ODNOS. MERI BO POSKRBELA ZA VARSTVO.;18 Nina,5 Saška,6 Meri,306 Stranka kozmetičnega salona 1,1000 Voziček,228 LOKAL AA 4x 19.2.;LOKAL AA 4x 19.2.;Melani Mekicar,Mila Peršin,Vesna Pernarčič,Tanja Mojzer;1 1/8
02;02-20;Kemp/Nad Plažo Pri Pomolu;DAN-EXT.;PEČNIKOV OPERATIVEC IZ ZASEDE OPAZUJE STANETA V ČOLNU.;161 Stane,250 Operativec,206 KEMP STANDARD (7);KEMP STANDARD (7);Bojan Maroševič,Damjan M. Trbovc;0 3/8
02;02-21;Lj/Pečnikova Pisarna;DAN-INT.;PEČNIK OKLEVA  ALI NAJ BREZ BB-JEVEGA DOVOLJENJA DA ZELENO LUČ OPERATIVCU?;15 Pečnik;;Matija Rupel;0 6/8
02;02-22;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.; ČRT POVE MARKU  DA IMATA Z JANO FINANČNI PROBLEM. MARK BI RAD POMAGAL JANI. ;1 Mark,194 Črt,206 KEMP STANDARD (7);KEMP STANDARD (7);Matej Zemljič,Aljaž Tepina;2 6/8
02;02-23;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.; BB POVE JULIJI  DA IMA TEŽAVO. ZA USPEŠNO IZPELJAVO KONGRESA POTREBUJE JULIJINO POMOČ. BO JULIJA UGODILA BB-JU?;10 Julija,19 Bb;;Sabina Kogovšek,Valter Dragan;1 4/8
02;02-24;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.;MARK PONUDI JANI ODŠKODNINO. JANA JE ŠOKIRANA.;1 Mark,12 Jana,194 Črt,206 KEMP STANDARD (7);KEMP STANDARD (7);Matej Zemljič,Tanja Potočnik,Aljaž Tepina;1
02;02-25;Lj/Dolenčevo Stanovanje/Predsoba;DAN-INT.; LARO DOMA PRIČAKA NEPRIJETNO PRESENEČENJE.;2 Lara,252 Erika;;Gaja Filač,Bernarda Oman;0 5/8
03;03-01;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.;JANA ZAVRNE MARKOVO PONUDBO Z ODŠKODNINO. ČRT JE OSUPEL.;1 Mark,12 Jana,194 Črt,206 KEMP STANDARD (7);KEMP STANDARD (7);Matej Zemljič,Tanja Potočnik,Aljaž Tepina;1 3/8
03;03-02;Lj/Dolenčevo Stanovanje/Predsoba;DAN-INT.;LARA IZVE  DA JE JANA ODDALA NJUNO STANOVANJE. NOVA PODNAJEMNIKA STA STANE JAMNIK IN NJEGOVA ŽENA.;2 Lara,252 Erika;;Gaja Filač,Bernarda Oman;1 6/8
03;03-03;Kemp/Pomol;DAN-EXT.;OPERATIVEC SE PRIPRAVLJA NA AKCIJO. STANE NE SLUTI  KAKŠNA NEVARNOST MU GROZI.;161 Stane,250 Operativec;;Bojan Maroševič,Damjan M. Trbovc;1 5/8
03;03-04;Lj/Bb-Jeva Pisarna;DAN-INT.;BB SE VRNE V PISARNO. PEČNIK GA PRIČAKA NA TRNIH. GA ZANIMA  ALI JE BB-JU USPELO UREDITI TEŽAVO Z MINISTRSTVOM?;19 Bb,15 Pečnik;;Valter Dragan,Matija Rupel;0 6/8
03;03-05;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.;JANA POVE ČRTU  DA V RESNICI NIMA DENARJA ZA ARO  A GA NE MISLI VZETI OD MARKA. ČRT JEZEN ODIDE SLIKAT.;12 Jana,194 Črt,206 KEMP STANDARD (7);KEMP STANDARD (7);Tanja Potočnik,Aljaž Tepina;1 6/8
03;03-06;Kemp/Pri Milenini Klopci;DAN-EXT.;MARK POVE EDIJU  DA JE PONUDIL JANI ODŠKODNINO. IN DA JE PRED SODIŠČEM SREČAL LARO. MARKA PREGANJAJO NJENE BESEDE.;1 Mark,3 Edvard,207 NI STATISTOV;NI STATISTOV;Matej Zemljič,Aleš Valič;1 7/8
03;03-07;Kemp/Pomol;DAN-EXT.;OPERATIVEC SE S STANETOM ODPRAVLJA NA MORJE  KO DOBI PEČNIKOVO SPOROČILO. AKCIJA JE PREKLICANA.;161 Stane,250 Operativec,206 KEMP STANDARD (7);KEMP STANDARD (7);Bojan Maroševič,Damjan M. Trbovc;1
03;03-08;Lj/Bb-Jeva Pisarna;DAN-INT.;PEČNIK BI PROSLAVIL DOBRO NOVICO S ŠEFOM. BB GA POSTAVI NA NJEGOVO MESTO. NI ŠE ČAS ZA PROSLAVLJANJE.;19 Bb,15 Pečnik;;Valter Dragan,Matija Rupel;1 7/8
03;03-09;Lj/Pasaža/Lokal;DAN-INT.;NINO NJEN NOVI FANT POVABI NA SALSO. ŽANOVE NAČRTE PREKRIŽA LARIN PRIHOD. LARA POTREBUJE NININO TOLAŽBO.;2 Lara,18 Nina,253 Žan,227 LOKAL A 3x 19.2.,228 LOKAL AA 4x 19.2.;LOKAL A 3x 19.2.,LOKAL AA 4x 19.2.;Gaja Filač,Melani Mekicar,Domen Novak;2 1/8
03;03-10;Kemp/Pri Milenini Klopci;DAN-EXT.;EDVARDA SKRBI ZA MARKA  KI GA JE SREČANJE Z LARO VRGLO IZ TIRA. MARK GA POMIRI. MARK JE SREČEN Z MIO  NE BO JE SPUSTIL IZ ROK.;1 Mark,3 Edvard,207 NI STATISTOV;NI STATISTOV;Matej Zemljič,Aleš Valič;2 6/8
03;03-11;Kemp/Pot Čez Kemp;DAN-EXT.;MARK SE VRNE DO MIE. POMIRI NJENE DVOME IN JI ZAGOTOVI  DA JE LARA PRETEKLOST.;1 Mark,21 Mia,206 KEMP STANDARD (7);KEMP STANDARD (7);Matej Zemljič,Zala Djurić;1 4/8
03;03-12;Lj/Pasaža/Lokal;DAN-INT.;LARA POVE NINI O SREČANJU Z MARKOM IN O TEM  DA JE JANA ODDALA NJUNO STANOVANJE. NINA JE ŠOKIRANA.;2 Lara,18 Nina,253 Žan,227 LOKAL A 3x 19.2.,228 LOKAL AA 4x 19.2.;LOKAL A 3x 19.2.,LOKAL AA 4x 19.2.;Gaja Filač,Melani Mekicar,Domen Novak;2 4/8
03;03-13;Lj/Julijino Stanovanje/Jedilnica;DAN-INT.;JULIJA PREDLAGA ROMANU SODELOVANJE NA KONGRESU. ROMAN JE ZADRŽAN  A JULIJA IMA MAMLJIV PREDLOG.;10 Julija,251 Roman;;Sabina Kogovšek,Uroš Smolej;2 2/8
03;03-14;Kemp/Klubska soba;DAN-INT.;MARK IN MIA IGRATA PIKADO. MIA JE ZMAGOVALKA - V VSEH POGLEDIH.;1 Mark,21 Mia,207 NI STATISTOV;NI STATISTOV;Matej Zemljič,Zala Djurić;1 7/8
03;03-15;Lj/Pasaža/Lokal;DAN-INT.;LARA SE POČUTI IZDANO  KER JE JANA ODPUSTILA MARKU. NININ FANT PA RAZJEZI LARO  KO ZAGOVARJA JANO. LARA JEZNA ODIDE.;2 Lara,18 Nina,253 Žan,227 LOKAL A 3x 19.2.,228 LOKAL AA 4x 19.2.;LOKAL A 3x 19.2.,LOKAL AA 4x 19.2.;Gaja Filač,Melani Mekicar,Domen Novak;3 1/8
03;03-16;Lj/Julijino Stanovanje/Jedilnica;DAN-INT.;JULIJA IZKORISTI ROMANOVO NAVDUŠENJE IN SI IZPOSLUJE MESTO V UPRAVI TER PROSI ROMANA  DA UREDI PROBLEM Z MINISTROM.;10 Julija,251 Roman;;Sabina Kogovšek,Uroš Smolej;2 4/8
03;03-17;Lj/Klub;DAN-INT.;LARA JE PRIŠLA UTOPIT RAZOČARANJA TEGA DNE ZA ŠANK. A UGOTOVI  DA JE IZGUBILA DENARNICO.;2 Lara,254 Barman,208 KLUB STATISTI (?);KLUB STATISTI (?);Gaja Filač;1 7/8
03;03-18;Kemp/Plaža Pod Barom;DAN-EXT.;"ČRT ZNAŠA SVOJO JEZO NAD ""PLATNOM"". JANA JE ŠOKIRANA ZARADI ČRTOVEGA ""DIVJANJA"".";12 Jana,194 Črt,206 KEMP STANDARD (7);KEMP STANDARD (7);Tanja Potočnik,Aljaž Tepina;0 5/8
03;03-19;Lj/Pasaža/Lokal;DAN-INT.;LARA SE VRNE V PASAŽO PO IZGUBLJENO DENARNICO. VIDI  DA JE LOKAL ZAPRT. DINO PA JE PRESENEČEN OB POGLEDU NA LARO.;2 Lara,4 Dino,227 LOKAL A 3x 19.2.,228 LOKAL AA 4x 19.2.;LOKAL A 3x 19.2.,LOKAL AA 4x 19.2.;Gaja Filač,Matino Antunović;0 5/8
03;03-20;Kemp/Klubska soba;DAN-INT.;MARK DOKONČNO POMIRI MIINE DVOME ZARADI LARE. MARK LJUBI MIO.;1 Mark,21 Mia,207 NI STATISTOV;NI STATISTOV;Matej Zemljič,Zala Djurić;1 6/8
03;03-21;Kemp/Plaža Pod Barom;DAN-EXT.;ČRT PRITISKA NA JANO  NAJ SPREJME OD MARKA ODŠKODNINO. JANA NE POPUSTI. ČRT SPET UŽALJEN ODIDE.;12 Jana,194 Črt,206 KEMP STANDARD (7);KEMP STANDARD (7);Tanja Potočnik,Aljaž Tepina;1 2/8
03;03-22;Lj/Pasaža;NOČ-INT;SAŠKA JE PRIŠLA PO DINA V MESNICO  DA GRESTA SKUPAJ NA KONCERT. DINA NI.;5 Saška;;Mila Peršin;0 5/8
03;03-23;Lj/Klub;NOČ-INT.;DINO JE POSPREMIL LARO V KLUB  DA PORAVNA SVOJ DOLG. LARA SE RESNO LOTI PITJA. DINO JO POSKUŠA USTAVITI  A MU NE USPEVA.;2 Lara,4 Dino,254 Barman,208 KLUB STATISTI (?);KLUB STATISTI (?);Gaja Filač,Matino Antunović;2 7/8
03;03-24;Lj/Bistro Lotus/Separe;NOČ-INT.;JULIJA POVE BB-JU DOBRO NOVICO. NJEN ŠEF BO UREDIL ZAPLET Z MINISTRSTVOM. A JULIJA ŽELI NEKAJ V ZAMENO.;10 Julija,19 Bb,411 Natakarica,300 STATISTI LOTUS A 6x 10.4.;STATISTI LOTUS A 6x 10.4.;Sabina Kogovšek,Valter Dragan,Ksenija Žunić;1
03;03-25;Lj/Pasaža;NOČ-INT.;SAŠKA JE STRTA  SAJ ZAMAN ČAKA NA DINA.;5 Saška;;Mila Peršin;0 2/8
03;03-26;Lj/Klub;NOČ-INT.;DINO JE ZARADI POPITEGA ALKOHOLA IN LARE POZABIL NA SAŠKO. GA VLEČE V LARIN OBJEM.;2 Lara,4 Dino,254 Barman,255 Vid,208 KLUB STATISTI (?);KLUB STATISTI (?);Gaja Filač,Matino Antunović,Gašper Lovrec;0 5/8
04;04-01;Lj/Bistro Lotus/Separe;NOČ-INT.; JULIJA POSTAVI BB-JA PRED DEJSTVO - BREZ NJE NE MORE SPELJATI KONGRESA. BO BB SPREJEL NJEN POGOJ?;10 Julija,19 Bb,411 Natakarica,300 STATISTI LOTUS A 6x 10.4.;STATISTI LOTUS A 6x 10.4.;Sabina Kogovšek,Valter Dragan,Ksenija Žunić;1 7/8
04;04-02;Lj/Klub;NOČ-INT;DINOV IN LARIN POLJUB PREPREČI SAŠKIN KLIC. LARA POŠLJE DINA DOMOV  OSTANE ZA ŠANKOM Z VIDOM.;2 Lara,4 Dino,254 Barman,255 Vid,208 KLUB STATISTI (?);KLUB STATISTI (?);Gaja Filač,Matino Antunović,Gašper Lovrec;2 4/8
04;04-03;Lj/Bistro Lotus/Separe;NOČ-INT.; JULIJA DA BB-JU ULTIMAT  SAJ ON DRUGE IZBIRE ITAK NIMA.;10 Julija,19 Bb,411 Natakarica,300 STATISTI LOTUS A 6x 10.4.;STATISTI LOTUS A 6x 10.4.;Sabina Kogovšek,Valter Dragan,Ksenija Žunić;1 6/8
